name	spike_lineage	genome_lineage	Ns	status_lineage	spike_lineage_group
CO-CDPHE-2103145010|EPI_ISL_12437025|USA|BA.1.1.18|2022-01-04	BA.1.1	BA.1.1.18	3.36168353111e-05	Incorrect	BA.1
CO-CDPHE-2103147187|EPI_ISL_12575342|USA|BA.2.12.1|2022-04-14	BA.2.12.1	BA.2.12.1	0.104649208324	Correct	BA.2
CO-CDPHE-2103147371|EPI_ISL_12803209|USA|BA.2.12.1|2022-04-15	BA.2.12.1	BA.2.12.1	0.0605278353317	Correct	BA.2
CO-CDPHE-2103149208|EPI_ISL_12800893|USA|BA.2|2022-04-15	BA.2.68	BA.2	0.0251648499529	Incorrect	BA.2
CO-CDPHE-2103160350|EPI_ISL_12656659|USA|BA.2|2022-04-19	BA.2	BA.2	NA	Correct	BA.2
CO-CDPHE-2103183278|EPI_ISL_12801305|USA|BA.2|2022-04-18	BA.2	BA.2	0.16567083107	Correct	BA.2
CO-CDPHE-2103223147|EPI_ISL_13021574|USA|BA.2.9|2022-05-12	BA.2.9	BA.2.9	0.000134548757106	Correct	BA.2
CO-CDPHE-2103226989|EPI_ISL_13165091|USA|BA.2|2022-05-12	BA.2.68	BA.2	NA	Incorrect	BA.2
CO-CDPHE-2103260412|EPI_ISL_13278559|USA|BA.2|2022-05-21	BA.2	BA.2	0.00743506930427	Correct	BA.2
CO-CDPHE-2103270796|EPI_ISL_13533432|USA|Unassigned|2022-05-18	BA.2	Unassigned	0.437221116222	Incorrect	BA.2
CO-CDPHE-2103286772|EPI_ISL_13533318|USA|BA.2.12.1|2022-05-24	BA.2.12.1	BA.2.12.1	0.120077403585	Correct	BA.2
CO-CDPHE-2103340911|EPI_ISL_13607489|USA|BA.2|2022-06-05	BA.2.68	BA.2	0.075731092437	Incorrect	BA.2
CO-CDPHE-2103341385|EPI_ISL_13607130|USA|BA.2.12.1|2022-06-07	BA.2.12.1	BA.2.12.1	0.0164033613445	Correct	BA.2
CO-CDPHE-2103354854|EPI_ISL_13533770|USA|BA.4.1|2022-06-09	BA.4.1	BA.4.1	0.00286060442889	Correct	BA.4
CO-CDPHE-2103358810|EPI_ISL_13607660|USA|BA.2.12.1|2022-06-13	BA.2.12.1	BA.2.12.1	0.118950731461	Correct	BA.2
CO-CDPHE-2103388172|EPI_ISL_13691472|USA|BA.5.1|2022-06-20	BE.1.1	BA.5.1	0.000941366325982	Incorrect	BE.1
CO-CDPHE-2103399506|EPI_ISL_13866204|USA|BA.4.1|2022-06-20	BA.4.1	BA.4.1	0.0331595762569	Correct	BA.4
CO-CDPHE-2103417067|EPI_ISL_13865687|USA|BA.2.12.1|2022-06-20	BA.2.12.1	BA.2.12.1	0.0441900750654	Correct	BA.2
CO-CDPHE-2103417347|EPI_ISL_13724228|USA|BA.5.5|2022-06-18	BA.5.5	BA.5.5	0.0551173139159	Correct	BA.5
CO-NVRL-ecS22IRL00267334|EPI_ISL_12584622|Ireland|BA.2|2022-03-22	BA.2	BA.2	0.0281505398043	Correct	BA.2
CO-NVRL-S22IRL00239363|EPI_ISL_11827635|Ireland|BA.2|2022-03-15	BA.2	BA.2	0.032354925776	Correct	BA.2
CO-NVRL-S22IRL00267484|EPI_ISL_12131566|Ireland|BA.2|2022-03-22	BA.2	BA.2	0.0294186946716	Correct	BA.2
CO-USAFSAM-S17623|EPI_ISL_13754867|USA|BA.4.1|2022-06-22	BA.4.1	BA.4.1	0.0366675653815	Correct	BA.4
CONI-2082|EPI_ISL_10319434|Thailand|BA.1.1|2022-02-02	BA.1.1	BA.1.1	0.000370570004043	Correct	BA.1
CONI-2646|EPI_ISL_11903144|Thailand|BA.2.27|2022-03-28	BA.2	BA.2.27	0.00104546067719	Incorrect	BA.2
CPHL-21878|EPI_ISL_12607729|Egypt|BA.1|2022-02-23	BA.1.14.2	BA.1	0.24896767046	Incorrect	BA.1
CSQ4529|EPI_ISL_8541456|Czech Republic|BA.1.17.2|2021-12-31	BA.1.17.2	BA.1.17.2	0.012604194676	Correct	BA.1
CT-Broad-CRSP_JQ46GV3M2GLKTJTC|EPI_ISL_11295367|USA|BA.2.9.2|2022-03-10	BA.2.9	BA.2.9.2	0.019013705993	Incorrect	BA.2
CT-Broad-CRSP_QZG7Y725ZH6J7FST|EPI_ISL_11903310|USA|BA.2|2022-03-29	BA.2.23	BA.2	NA	Incorrect	BA.2
CT-CDC-ASC210553045|EPI_ISL_10373043|USA|BA.1.18|2022-02-11	BA.1.18	BA.1.18	NA	Correct	BA.1
CT-CDC-ASC210860568|EPI_ISL_10492238|USA|BA.1.20|2022-02-12	BA.1	BA.1.20	0.0264996305501	Incorrect	BA.1
CT-CDC-LC0433109|EPI_ISL_8156392|USA|BA.1|2021-12-16	BA.1	BA.1	NA	Correct	BA.1
CT-CDC-LC0462449|EPI_ISL_9041864|USA|BA.1.1|2022-01-05	BA.1.1	BA.1.1	0.0137307548516	Correct	BA.1
CT-CDC-LC0511256|EPI_ISL_9918573|USA|BA.1.1.2|2022-01-28	BA.1.1	BA.1.1.2	NA	Incorrect	BA.1
CT-CDC-LC0662875|EPI_ISL_13117820|USA|BA.2|2022-05-16	BA.2.68	BA.2	NA	Incorrect	BA.2
CT-CDC-LC0667351|EPI_ISL_13162065|USA|BA.2|2022-05-23	BA.2	BA.2	NA	Correct	BA.2
CT-CDCBI-CRSP_5TOSDRUAKXST7ZG6|EPI_ISL_9809027|USA|BA.2.3|2022-01-31	BA.2.3	BA.2.3	0.0249622039308	Correct	BA.2
CT-CDCBI-CRSP_XC4EK2QO3Z52YY3P|EPI_ISL_8210812|USA|BA.1|2021-12-20	BA.1.1	BA.1	0.0352405198982	Incorrect	BA.1
CT-HCB-1866|EPI_ISL_10127423|Spain|BA.1.1.1|2022-02-09	BA.1.1	BA.1.1.1	0.059702996909	Incorrect	BA.1
CT-HUB04716|EPI_ISL_12252212|Spain|BA.2|2022-03-30	BA.2	BA.2	NA	Correct	BA.2
CT-HUB04957|EPI_ISL_12613511|Spain|BA.2|2022-04-29	BA.2	BA.2	NA	Correct	BA.2
CT-HUGTiPM072UY8G9|EPI_ISL_9103449|Spain|BA.1.17|2022-01-14	BA.1	BA.1.17	0.0118547872519	Incorrect	BA.1
CT-HUGTiPM074SV9H7|EPI_ISL_9365063|Spain|BA.1.1|2022-01-22	BA.1.1	BA.1.1	0.0131318219983	Correct	BA.1
CT-HUGTiPM075MP4B4|EPI_ISL_9596632|Spain|BA.1.18|2022-01-24	BA.1.18	BA.1.18	NA	Correct	BA.1
CT-HUGTiPM076TF1H10|EPI_ISL_9678352|Spain|BA.1.1|2022-01-31	BA.1.1	BA.1.1	0.0074897561631	Correct	BA.1
CT-HUGTiPM078XX1H4|EPI_ISL_9949221|Spain|BA.1.18|2022-02-04	BA.1.18	BA.1.18	NA	Correct	BA.1
CT-HUGTiPM083AR3A3|EPI_ISL_10844458|Spain|BA.1.18|2022-02-23	BA.1.18	BA.1.18	NA	Correct	BA.1
CT-HUGTiPM084OA8C2|EPI_ISL_11031024|Spain|BA.1.1.1|2022-02-28	BA.1.1	BA.1.1.1	NA	Incorrect	BA.1
CT-HUJT-RB32202|EPI_ISL_11789624|Spain|BA.2|2022-03-23	BA.2	BA.2	0.090033557047	Correct	BA.2
CT-HUJT-RB32743|EPI_ISL_13002395|Spain|BA.2|2022-05-11	BA.2	BA.2	0.00744991442666	Correct	BA.2
CT-HUVH-E35927|EPI_ISL_9609870|Spain|BA.1.1|2022-01-24	BA.1.1	BA.1.1	0.0126629047427	Correct	BA.1
CT-HUVH-EX44889|EPI_ISL_9905060|Spain|BA.1.1|2022-02-09	BA.1.1	BA.1.1	0.0111786229816	Correct	BA.1
CT-JAX-JAX-2151-088|EPI_ISL_8017638|USA|BA.1|2021-12-16	BA.1	BA.1	0.0655181677749	Correct	BA.1
CT-JAX-JAX-2201.01-126|EPI_ISL_8487355|USA|BA.1|2021-12-29	BA.1	BA.1	0.0135974483801	Correct	BA.1
CT-JAX-JAX-2202.02-070|EPI_ISL_8725449|USA|BA.1|2021-12-30	BA.1	BA.1	NA	Correct	BA.1
CT-SEMA4-2560|EPI_ISL_8879772|USA|BA.1.15|2022-01-03	BA.1.15	BA.1.15	NA	Correct	BA.1
CT-SEMA4-2789|EPI_ISL_9516834|USA|BA.1|2022-01-12	BA.1	BA.1	NA	Correct	BA.1
CT-Yale-15327|EPI_ISL_8563106|USA|BA.1|2021-12-21	BA.1	BA.1	0.0198702215647	Correct	BA.1
CT-Yale-15344|EPI_ISL_8563123|USA|BA.1.1|2021-12-23	BA.1.1	BA.1.1	0.00884241670309	Correct	BA.1
CT-Yale-16005|EPI_ISL_9400811|USA|BA.1.1|2022-01-11	BA.1.1	BA.1.1	0.00608464719131	Correct	BA.1
CT-Yale-18387|EPI_ISL_11812223|USA|BA.1.1|2022-03-19	BA.1.1	BA.1.1	NA	Correct	BA.1
CT-Yale-19454|EPI_ISL_12739489|USA|BA.2.12.1|2022-04-28	BA.2.12.1	BA.2.12.1	NA	Correct	BA.2
CT-Yale-19599-5|EPI_ISL_12878948|USA|BA.2.12.1|2022-05-05	BA.2.12.1	BA.2.12.1	0.00144101876676	Correct	BA.2
CT-Yale-20927|EPI_ISL_13666028|USA|BA.2.12.1|2022-06-20	BA.2.12.1	BA.2.12.1	0.000816826628548	Correct	BA.2
CT-YPL22-25561|EPI_ISL_11899798|USA|BA.2.10|2022-03-29	BA.2	BA.2.10	0.0325249932451	Incorrect	BA.2
CT-YPL22-34835|EPI_ISL_13128182|USA|BA.2|2022-05-26	BA.2	BA.2	0.025947767481	Correct	BA.2
CV5001|EPI_ISL_12572867|Nigeria|BA.1.1|2021-12-19	BA.1.1	BA.1.1	0.0205513952786	Correct	BA.1
CVL-23525|EPI_ISL_8647975|Israel|BA.1.17.2|2022-01-01	BA.1.17.2	BA.1.17.2	0.146344735077	Correct	BA.1
CVL-26730|EPI_ISL_12094469|Israel|BA.1.1|2022-03-06	BA.1.1	BA.1.1	0.000133931560972	Correct	BA.1
CVL-26993|EPI_ISL_12094702|Israel|BA.2|2022-03-06	BA.2.64	BA.2	0.00586362874853	Incorrect	BA.2
CVL-8002676|EPI_ISL_9306662|Israel|BA.1.1|2022-01-16	BA.1.1	BA.1.1	0.26930435971	Correct	BA.1
CVL-8005204|EPI_ISL_12535243|Israel|BA.2|2022-04-01	BA.2	BA.2	0.0335446647211	Correct	BA.2
CVL-8006708|EPI_ISL_12741351|Israel|BA.2.3|2022-04-28	BA.2.3.2	BA.2.3	0.0699755353732	Incorrect	BA.2
CVL-8006918|EPI_ISL_12741875|Israel|BA.2|2022-05-09	BA.2.68	BA.2	0.0105997584865	Incorrect	BA.2
CVL-8010253|EPI_ISL_12092618|Israel|BA.1.1|2022-02-17	BA.1.1	BA.1.1	0.000469231800509	Correct	BA.1
CVL-8011877|EPI_ISL_12090758|Israel|BA.1.17.2|2022-03-16	BA.1.17.2	BA.1.17.2	0.0974252380314	Correct	BA.1
CVL-9001457|EPI_ISL_12095029|Israel|BA.1.1|2022-03-11	BA.1.1	BA.1.1	0.0534343468204	Correct	BA.1
CVL-9002445|EPI_ISL_12091824|Israel|BA.2|2022-03-24	BA.2.68	BA.2	0.0201911789368	Incorrect	BA.2
CVL-9003253|EPI_ISL_12535722|Israel|BA.2.9|2022-04-07	BA.2.9	BA.2.9	0.0764408086633	Correct	BA.2
CVL-9003689|EPI_ISL_12535378|Israel|BA.2|2022-04-20	B-1-1-529	BA.2	0.0239836307527	Incorrect	B.1.1.529
CVL-9004337|EPI_ISL_12742238|Israel|BA.2|2022-05-09	BA.2	BA.2	0.0299252706009	Correct	BA.2
CVL-ChuTo-9800088986|EPI_ISL_13516952|France|BA.5.1|2022-06-10	BE.1.1	BA.5.1	0.000102082482646	Incorrect	BE.1
CVL-HCL722001557601|EPI_ISL_11824460|France|BA.2|2022-03-14	BA.2	BA.2	0.010127178521	Correct	BA.2
CVL-HCL722002954101|EPI_ISL_13342650|France|BA.5.1|2022-05-30	BE.1.1	BA.5.1	NA	Incorrect	BE.1
CVL-HMN-22012270799|EPI_ISL_9970990|France|BA.1.13|2022-01-03	BA.1	BA.1.13	0.0529827973576	Incorrect	BA.1
CVL-HMN-22022240257|EPI_ISL_10898412|France|BA.1.13|2022-01-31	BA.1.13	BA.1.13	0.0190143447442	Correct	BA.1
CVL-HMN-22032020441|EPI_ISL_11219871|France|BA.1.1|2022-02-07	BA.1.1	BA.1.1	0.0364595584529	Correct	BA.1
CVL-HMN-22032290414|EPI_ISL_12260934|France|BA.1.17|2022-01-17	BA.1	BA.1.17	0.000369425040301	Incorrect	BA.1
CVL-HMN-22052111302|EPI_ISL_13016844|France|BA.2|2022-05-02	BA.2	BA.2	NA	Correct	BA.2
CVL-IPP11570|EPI_ISL_11020742|France|BA.1.1.1|2022-02-13	BA.1.1	BA.1.1.1	NA	Incorrect	BA.1
CVL-LBZCentre-A300561226|EPI_ISL_13515269|France|BA.5.1|2022-06-20	BE.1.1	BA.5.1	NA	Incorrect	BE.1
CVL-LBZCentre-A390078920|EPI_ISL_12747391|France|BA.2|2022-05-09	BA.2	BA.2	6.72856950612e-05	Correct	BA.2
CVR14218|EPI_ISL_11221130|United Kingdom|BA.1.1.14|2022-02-21	BA.1.1	BA.1.1.14	0.000978902953586	Incorrect	BA.1
CVR14783|EPI_ISL_11807204|United Kingdom|BA.1|2022-01-03	BA.1	BA.1	0.00097893599784	Correct	BA.1
CVR15008|EPI_ISL_11807624|United Kingdom|BA.2|2022-02-23	BA.2	BA.2	0.00098548951643	Correct	BA.2
CVR15363|EPI_ISL_11924963|United Kingdom|BA.2|2022-03-22	BA.2.68	BA.2	0.000985523006865	Incorrect	BA.2
D-Enfer-COV230222020_F5|EPI_ISL_11023523|Ireland|BA.1.1.15|2022-02-23	BA.1.1	BA.1.1.15	0.0116986586883	Incorrect	BA.1
D-NVRL-ecS22IRL00263581|EPI_ISL_12584967|Ireland|BA.2|2022-03-21	BA.2	BA.2	0.0174553526385	Correct	BA.2
D-NVRL-ecS22IRL00324459|EPI_ISL_13775053|Ireland|BA.2|2022-05-11	BA.2	BA.2	0.0560002690704	Correct	BA.2
D-NVRL-ecS22IRL00327920|EPI_ISL_13775288|Ireland|BA.2.23|2022-05-17	BA.2	BA.2.23	0.0109978811422	Incorrect	BA.2
D-NVRL-G22IRL07167|EPI_ISL_10943321|Ireland|BA.2|2022-02-02	BA.2	BA.2	0.0331478175645	Correct	BA.2
D-NVRL-S22IRL00019248|EPI_ISL_9614027|Ireland|BA.1|2022-01-04	BA.1	BA.1	0.0274738224302	Correct	BA.1
D-NVRL-S22IRL00264122|EPI_ISL_12008155|Ireland|BA.2|2022-03-22	BA.2.68	BA.2	0.0295079755843	Incorrect	BA.2
D-NVRL-S22IRL00336484|EPI_ISL_13298838|Ireland|BA.2|2022-05-24	BA.2	BA.2	3.37245379738e-05	Correct	BA.2
D-NVRL-S22IRL00356857|EPI_ISL_13574854|Ireland|BA.5.1|2022-06-14	BE.1.1	BA.5.1	3.37313634217e-05	Incorrect	BE.1
DA10332105|EPI_ISL_13184436|Sweden|BA.1.1|2022-02-16	BA.1.1	BA.1.1	0.00172041559843	Correct	BA.1
DA10333641|EPI_ISL_12410350|Sweden|BA.2|2022-03-01	BA.2.9	BA.2	0.00711767668289	Incorrect	BA.2
DA10355092|EPI_ISL_11096815|Sweden|BA.2|2022-02-21	BA.2.4	BA.2	0.00711767668289	Incorrect	BA.2
DA10369739|EPI_ISL_11091811|Sweden|BA.2|2022-03-02	BA.2	BA.2	0.00711767668289	Correct	BA.2
DA10562727|EPI_ISL_10597782|Sweden|BA.1|2022-02-07	BA.1.1	BA.1	0.0053973822696	Incorrect	BA.1
DA10614012|EPI_ISL_11846503|Sweden|BA.2|2022-03-14	BA.2	BA.2	0.0157797549102	Correct	BA.2
DC-CDC-2-5440802|EPI_ISL_9329164|USA|BA.1.17|2021-12-09	BA.1	BA.1.17	0.00157776360401	Incorrect	BA.1
DC-CDC-LC0430186|EPI_ISL_8156024|USA|BA.1.1|2021-12-15	BA.1.1	BA.1.1	NA	Correct	BA.1
DC-Curative-129089|EPI_ISL_7834134|USA|BA.1|2021-12-07	BA.1	BA.1	0.0137550200803	Correct	BA.1
DC-Curative-234304|EPI_ISL_10585714|USA|BA.1.1|2022-02-18	BA.1.1	BA.1.1	0.0747435767239	Correct	BA.1
DC-Curative-236801|EPI_ISL_12083794|USA|BA.2.3|2022-04-06	BA.2.3	BA.2.3	0.0300754446455	Correct	BA.2
DC-Curative-237690|EPI_ISL_12574886|USA|BA.2|2022-04-26	BA.2	BA.2	0.0221950722867	Correct	BA.2
DC-Curative-253061|EPI_ISL_12009524|USA|BA.2|2022-03-31	BA.2	BA.2	0.187775741533	Correct	BA.2
DC-Curative-260569|EPI_ISL_12109996|USA|BA.2.3|2022-04-08	BA.2	BA.2.3	0.0577614878165	Incorrect	BA.2
DC-Curative-314378|EPI_ISL_12971920|USA|BA.2.12.1|2022-05-16	BA.2.12.1	BA.2.12.1	0.0593226091088	Correct	BA.2
DC-Curative-321156|EPI_ISL_12971794|USA|BA.2|2022-05-16	B-1-1-529	BA.2	0.0943120885088	Incorrect	B.1.1.529
DC-Curative-328979|EPI_ISL_12971759|USA|BA.2|2022-05-17	XAG	BA.2	0.119256091767	Incorrect	XAG
DC-Curative-363898|EPI_ISL_12915258|USA|BA.2.12.1|2022-05-14	BA.2.12.1	BA.2.12.1	0.0379759723071	Correct	BA.2
DC-Curative-425589|EPI_ISL_13784696|USA|BA.2.12.1|2022-06-25	BA.2.12.1	BA.2.12.1	0.105570665861	Correct	BA.2
DC-Curative-458616|EPI_ISL_13053097|USA|BA.2|2022-05-20	BA.2	BA.2	0.0368560374669	Correct	BA.2
DC-DFS-PHL-05384|EPI_ISL_9911565|USA|BA.1.18|2021-12-31	BA.1.1	BA.1.18	0.256406751862	Incorrect	BA.1
DC-DFS-PHL-05556|EPI_ISL_10080141|USA|BA.1.20|2022-01-10	BA.1	BA.1.20	0.150700148108	Incorrect	BA.1
DC-DFS-PHL-05682|EPI_ISL_10297490|USA|BA.1.20|2021-12-30	BA.1.18	BA.1.20	0.174916150015	Incorrect	BA.1
DC-DFS-PHL-05732|EPI_ISL_10331003|USA|BA.1.1|2022-01-05	BA.1.1	BA.1.1	0.254441711084	Correct	BA.1
DC-LSPSDS-VG-212710|EPI_ISL_12503618|Colombia|BA.2|2022-03-14	BA.2	BA.2	0.116703634192	Correct	BA.2
DC-LSPSDS-VG-41724|EPI_ISL_8879573|Colombia|BA.1.17|2022-01-02	BA.1	BA.1.17	0.0352652457473	Incorrect	BA.1
DCGC-267987|EPI_ISL_7901915|Denmark|BA.1.17.2|2021-12-10	BA.1.17.2	BA.1.17.2	0.00583887407607	Correct	BA.1
DCGC-270927|EPI_ISL_7906407|Denmark|BA.1.17.2|2021-12-05	BA.1.17.2	BA.1.17.2	0.00933387053452	Correct	BA.1
DCGC-271398|EPI_ISL_7906867|Denmark|BA.1|2021-12-08	BA.1.17.2	BA.1	0.0100239630092	Incorrect	BA.1
DCGC-286851|EPI_ISL_8172482|Denmark|BA.1|2021-12-14	BA.1	BA.1	0.0400509861801	Correct	BA.1
DCGC-287336|EPI_ISL_8172645|Denmark|BA.1|2021-12-21	BA.1	BA.1	0.0477711288913	Correct	BA.1
DCGC-287971|EPI_ISL_8252026|Denmark|BA.1|2021-12-20	BA.1	BA.1	0.0297705050234	Correct	BA.1
DCGC-288535|EPI_ISL_8249445|Denmark|BA.1.17.2|2021-12-24	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
DCGC-293462|EPI_ISL_8347011|Denmark|BA.1|2021-12-18	BA.1	BA.1	0.00080569356788	Correct	BA.1
DCGC-294039|EPI_ISL_8347524|Denmark|BA.1.17.2|2021-12-27	BA.1.17.2	BA.1.17.2	0.00252066948982	Correct	BA.1
DCGC-294909|EPI_ISL_8382972|Denmark|BA.1.17.2|2021-12-28	BA.1.17.2	BA.1.17.2	0.05557610194	Correct	BA.1
DCGC-296286|EPI_ISL_8420735|Denmark|BA.1.15|2021-12-22	BA.1.15	BA.1.15	0.0175485779601	Correct	BA.1
DCGC-297296|EPI_ISL_8457912|Denmark|BA.1|2021-12-30	BA.1	BA.1	0.0222214751563	Correct	BA.1
DCGC-297410|EPI_ISL_8458062|Denmark|BA.1.17.2|2021-12-31	BA.1.17.2	BA.1.17.2	0.015329792241	Correct	BA.1
DCGC-297651|EPI_ISL_8468012|Denmark|BA.1.17|2022-01-02	BA.1.21.1	BA.1.17	0.0173863330643	Incorrect	BA.1
DCGC-297755|EPI_ISL_8467535|Denmark|BA.1.17.2|2021-12-29	BA.1.17.2	BA.1.17.2	0.0636635024989	Correct	BA.1
DCGC-298892|EPI_ISL_8465498|Denmark|BA.2|2022-01-02	BA.2	BA.2	NA	Correct	BA.2
DCGC-298949|EPI_ISL_8468144|Denmark|BA.1.17|2022-01-02	BA.1	BA.1.17	0.0277012035232	Incorrect	BA.1
DCGC-299002|EPI_ISL_8465788|Denmark|BA.1|2022-01-02	BA.1	BA.1	0.0143923599435	Correct	BA.1
DCGC-300157|EPI_ISL_8530273|Denmark|BA.1.21|2022-01-03	BA.1	BA.1.21	0.0190277684395	Incorrect	BA.1
DCGC-301606|EPI_ISL_8530149|Denmark|BA.1|2021-12-28	BA.1	BA.1	0.0373831775701	Correct	BA.1
DCGC-302241|EPI_ISL_8578509|Denmark|BA.1|2022-01-02	BA.1	BA.1	NA	Correct	BA.1
DCGC-302246|EPI_ISL_8578514|Denmark|BA.1.18|2022-01-02	BA.1	BA.1.18	NA	Incorrect	BA.1
DCGC-302297|EPI_ISL_8578558|Denmark|BA.2.9|2022-01-02	BA.2.9	BA.2.9	0.00117591721543	Correct	BA.2
DCGC-302903|EPI_ISL_8579062|Denmark|BA.1.18|2022-01-03	BA.1.18	BA.1.18	NA	Correct	BA.1
DCGC-303515|EPI_ISL_8579563|Denmark|BA.1.17.2|2022-01-02	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
DCGC-304600|EPI_ISL_8581428|Denmark|BA.1.15|2022-01-02	BA.1.15	BA.1.15	0.00285771920387	Correct	BA.1
DCGC-305086|EPI_ISL_8582291|Denmark|BA.2|2022-01-02	BA.2	BA.2	0.0187537810042	Correct	BA.2
DCGC-305737|EPI_ISL_8582823|Denmark|BA.1|2022-01-02	BA.1	BA.1	0.000167813391509	Correct	BA.1
DCGC-306173|EPI_ISL_8583171|Denmark|BA.2|2022-01-02	BA.2	BA.2	0.000872249060655	Correct	BA.2
DCGC-306277|EPI_ISL_8585083|Denmark|BA.1|2022-01-02	BA.1	BA.1	0.0828012635258	Correct	BA.1
DCGC-309245|EPI_ISL_8708271|Denmark|BA.1|2022-01-07	BA.1	BA.1	0.0278066615235	Correct	BA.1
DCGC-309737|EPI_ISL_8658660|Denmark|BA.2.9|2022-01-05	BA.2.9	BA.2.9	NA	Correct	BA.2
DCGC-311656|EPI_ISL_8705062|Denmark|BA.2|2022-01-09	BA.2	BA.2	NA	Correct	BA.2
DCGC-312760|EPI_ISL_8767471|Denmark|BA.2|2022-01-07	BA.2	BA.2	NA	Correct	BA.2
DCGC-313821|EPI_ISL_8804124|Denmark|BA.1.19|2022-01-10	BA.1	BA.1.19	0.0138837529835	Incorrect	BA.1
DCGC-314240|EPI_ISL_8805076|Denmark|BA.1|2021-12-27	BA.1	BA.1	6.75014344055e-05	Correct	BA.1
DCGC-315436|EPI_ISL_8831812|Denmark|BA.1.17.2|2022-01-13	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
DCGC-315848|EPI_ISL_8832461|Denmark|BA.2|2022-01-12	BA.2	BA.2	0.0335753176044	Correct	BA.2
DCGC-317175|EPI_ISL_8834725|Denmark|BA.1.17.2|2022-01-13	BA.1.17.2	BA.1.17.2	0.00735862370216	Correct	BA.1
DCGC-317284|EPI_ISL_8834905|Denmark|BA.1.17.2|2022-01-11	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
DCGC-317613|EPI_ISL_8885775|Denmark|BA.1.1|2022-01-12	BA.1.1	BA.1.1	0.00853781512605	Correct	BA.1
DCGC-318002|EPI_ISL_8886788|Denmark|BA.1.1|2022-01-14	BA.1.1	BA.1.1	0.0134417635594	Correct	BA.1
DCGC-318381|EPI_ISL_8887194|Denmark|BA.2|2022-01-13	BA.2	BA.2	NA	Correct	BA.2
DCGC-318834|EPI_ISL_8921422|Denmark|BA.2|2022-01-13	BA.2	BA.2	0.0257780466492	Correct	BA.2
DCGC-319382|EPI_ISL_8922387|Denmark|BA.2.9|2022-01-14	BA.2.9	BA.2.9	0.000873567852703	Correct	BA.2
DCGC-320235|EPI_ISL_8924996|Denmark|BA.2.9|2022-01-13	BA.2.9	BA.2.9	0.00214837193689	Correct	BA.2
DCGC-320776|EPI_ISL_8926879|Denmark|BA.2.9|2022-01-14	BA.2.9	BA.2.9	NA	Correct	BA.2
DCGC-321273|EPI_ISL_9006323|Denmark|BA.1|2022-01-14	BA.1	BA.1	NA	Correct	BA.1
DCGC-321907|EPI_ISL_9007935|Denmark|BA.2|2022-01-15	BA.2	BA.2	0.00463803186126	Correct	BA.2
DCGC-323233|EPI_ISL_9010390|Denmark|BA.1|2022-01-14	BA.1	BA.1	NA	Correct	BA.1
DCGC-323730|EPI_ISL_9010873|Denmark|BA.1|2022-01-17	BA.1	BA.1	0.00988368183958	Correct	BA.1
DCGC-324666|EPI_ISL_9063729|Denmark|BA.2|2022-01-18	BA.2	BA.2	NA	Correct	BA.2
DCGC-325891|EPI_ISL_9067130|Denmark|BA.2|2022-01-17	BA.2	BA.2	0.00772979331205	Correct	BA.2
DCGC-325971|EPI_ISL_9067302|Denmark|BA.1|2022-01-12	BA.1	BA.1	NA	Correct	BA.1
DCGC-326418|EPI_ISL_9068575|Denmark|BA.2.9|2022-01-17	BA.2.9	BA.2.9	NA	Correct	BA.2
DCGC-330176|EPI_ISL_9124832|Denmark|BA.2|2022-01-19	BA.2	BA.2	NA	Correct	BA.2
DCGC-330186|EPI_ISL_9124859|Denmark|BA.2|2022-01-18	BA.2	BA.2	0.00134390538906	Correct	BA.2
DCGC-331007|EPI_ISL_9128371|Denmark|BA.2.9|2022-01-14	BA.2.9	BA.2.9	0.000873832089803	Correct	BA.2
DCGC-331177|EPI_ISL_9128778|Denmark|BA.1|2022-01-12	BA.1.18	BA.1	NA	Incorrect	BA.1
DCGC-331308|EPI_ISL_9162358|Denmark|BA.2|2022-01-20	BA.2	BA.2	0.0022517223996	Correct	BA.2
DCGC-331844|EPI_ISL_9163528|Denmark|BA.2.9|2022-01-21	BA.2.9	BA.2.9	NA	Correct	BA.2
DCGC-333770|EPI_ISL_9168012|Denmark|BA.1|2022-01-19	BA.1	BA.1	NA	Correct	BA.1
DCGC-334770|EPI_ISL_9169375|Denmark|BA.2|2022-01-19	BA.2	BA.2	0.000872366125352	Correct	BA.2
DCGC-335247|EPI_ISL_9237096|Denmark|BA.2|2022-01-22	BA.2	BA.2	0.00127713920817	Correct	BA.2
DCGC-335476|EPI_ISL_9238195|Denmark|BA.2|2022-01-22	BA.2	BA.2	0.0315241135944	Correct	BA.2
DCGC-338651|EPI_ISL_9270664|Denmark|BA.1|2022-01-18	BA.1	BA.1	NA	Correct	BA.1
DCGC-340055|EPI_ISL_9359221|Denmark|BA.2|2022-01-23	BA.2	BA.2	0.0190258496084	Correct	BA.2
DCGC-340647|EPI_ISL_9362279|Denmark|BA.1|2022-01-21	BA.1	BA.1	NA	Correct	BA.1
DCGC-342212|EPI_ISL_9408695|Denmark|BA.1.1|2022-01-25	BA.1.1	BA.1.1	0.000134444743211	Correct	BA.1
